GP,Date,Venue,Opponent,GF,GA,Result,OT Result,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
72,2024-03-23,Away,Philadelphia Flyers,2,3,L,,20,6,0,2,0,43,50,46.2,28,42,40.0,23,22,51.1,31.4,104.6
73,2024-03-26,Away,Florida Panthers,4,3,W,,21,17,1,4,0,28,51,35.4,20,33,37.7,24,20,54.5,33.3,103.8
74,2024-03-27,Away,Tampa Bay Lightning,1,3,L,,24,7,0,2,0,34,54,38.6,23,39,37.1,20,25,44.4,48.1,95.3
75,2024-03-30,Away,Washington Capitals,3,2,W,SO,29,8,0,2,0,54,41,56.8,36,20,64.3,23,20,53.5,62.5,100.0
76,2024-04-02,Away,Nashville Predators,3,0,W,,32,8,0,2,1,45,61,42.5,35,42,45.5,14,27,34.1,43.8,107.7
77,2024-04-04,Away,Carolina Hurricanes,4,1,W,,28,11,0,4,0,43,66,39.4,32,48,40.0,19,22,46.3,48.3,116.0
78,2024-04-06,Home,Florida Panthers,3,2,W,OT,29,10,1,5,0,36,55,39.6,27,34,44.3,28,17,62.2,42.6,100.4
79,2024-04-09,Home,Carolina Hurricanes,1,4,L,,23,6,0,3,0,30,45,40.0,23,36,39.0,22,20,52.4,46.5,90.7
80,2024-04-13,Away,Pittsburgh Penguins,6,4,W,,31,4,0,3,1,54,56,49.1,39,36,52.0,28,24,53.8,33.3,113.7
81,2024-04-15,Away,Washington Capitals,0,2,L,,16,2,0,0,0,37,56,39.8,24,45,34.8,28,23,54.9,63.4,91.7
82,2024-04-16,Home,Ottawa Senators,1,3,L,,35,6,1,2,0,54,31,63.5,39,24,61.9,26,10,72.2,46.8,89.5
1,2023-10-11,Home,Montreal Canadiens,6,5,W,SO,42,15,2,4,0,56,40,58.3,43,30,58.9,20,20,50.0,75.0,89.1
2,2023-10-14,Home,Minnesota Wild,7,4,W,,33,9,2,3,0,44,59,42.7,37,43,46.3,32,32,50.0,25.8,104.5
3,2023-10-16,Home,Chicago Blackhawks,1,4,L,,36,13,0,3,0,79,53,59.8,54,32,62.8,32,18,64.0,53.5,95.3
4,2023-10-19,Away,Florida Panthers,1,3,L,,30,8,1,5,0,48,38,55.8,26,25,51.0,22,28,44.0,56.6,86.7
5,2023-10-21,Away,Tampa Bay Lightning,4,3,W,OT,52,8,0,2,0,73,53,57.9,59,37,61.5,22,32,40.7,74.0,104.8
6,2023-10-24,Away,Washington Capitals,4,1,W,,17,6,2,3,0,31,45,40.8,17,35,32.7,20,14,58.8,33.3,116.7
7,2023-10-26,Away,Dallas Stars,4,1,W,,24,4,1,4,0,46,62,42.6,32,44,42.1,27,25,51.9,35.0,113.1
8,2023-10-28,Away,Nashville Predators,2,3,L,OT,35,10,1,4,0,56,43,56.6,38,33,53.5,26,18,59.1,46.1,98.0
9,2023-10-31,Home,Los Angeles Kings,1,4,L,,30,18,1,4,0,37,52,41.6,30,38,44.1,21,16,56.8,48.0,85.7
10,2023-11-02,Away,Boston Bruins,2,3,L,SO,35,4,0,2,0,59,68,46.5,47,52,47.5,16,31,34.0,47.5,101.4
11,2023-11-04,Home,Buffalo Sabres,4,6,L,,28,6,1,4,0,40,50,44.4,23,39,37.1,29,14,67.4,32.0,107.5
12,2023-11-06,Home,Tampa Bay Lightning,6,5,W,OT,34,6,0,3,0,49,43,53.3,38,30,55.9,23,29,44.2,58.4,108.7
13,2023-11-08,Home,Ottawa Senators,3,6,L,,30,6,1,2,0,58,46,55.8,43,35,55.1,23,18,56.1,52.0,86.3
