GP,Date,Venue,Opponent,GF,GA,Result,OT Result,S,PIM,PPG,PPO,SHG,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
79,2024-04-09,Home,Toronto Maple Leafs,2,5,L,,20,6,1,2,0,34,60,36.2,24,42,36.4,23,17,57.5,60.0,91.5
80,2024-04-11,Away,Toronto Maple Leafs,6,5,W,,20,11,3,4,0,39,62,38.6,24,44,35.3,19,27,41.3,29.6,102.1
81,2024-04-13,Away,Philadelphia Flyers,0,1,L,,20,6,0,1,0,49,35,58.3,26,27,49.1,19,17,52.8,50.0,100.0
82,2024-04-15,Home,New York Islanders,1,4,L,,24,2,0,3,0,47,36,56.6,27,28,49.1,25,20,55.6,51.9,87.1
1,2023-10-12,Home,Philadelphia Flyers,2,4,L,,33,8,0,4,0,52,64,44.8,36,42,46.2,23,22,51.1,52.3,93.1
2,2023-10-14,Home,New York Rangers,5,3,W,,21,6,1,1,0,40,78,33.9,30,56,34.9,24,29,45.3,47.1,115.6
3,2023-10-16,Home,Detroit Red Wings,0,4,L,,23,15,0,4,0,32,34,48.5,22,27,44.9,10,29,25.6,60.0,90.0
4,2023-10-20,Home,Calgary Flames,3,1,W,,29,11,0,2,0,57,58,49.6,40,42,48.8,25,19,56.8,64.5,111.5
5,2023-10-21,Away,Minnesota Wild,5,4,W,OT,54,6,1,3,0,79,56,58.5,55,33,62.5,34,17,66.7,69.2,92.1
6,2023-10-24,Home,Anaheim Ducks,2,3,L,OT,37,8,1,7,0,51,39,56.7,37,27,57.8,13,23,36.1,60.0,89.5
7,2023-10-26,Away,Montreal Canadiens,3,4,L,OT,36,19,2,4,0,50,59,45.9,33,37,47.1,24,18,57.1,56.8,95.3
8,2023-10-28,Home,New York Islanders,0,2,L,,34,6,0,3,0,57,57,50.0,41,47,46.6,10,17,37.0,45.0,92.6
9,2023-10-30,Away,Dallas Stars,3,5,L,,25,6,0,3,0,53,54,49.5,37,44,45.7,22,27,44.9,59.8,92.8
10,2023-11-02,Home,Tampa Bay Lightning,4,2,W,,28,8,0,4,0,51,52,49.5,34,31,52.3,24,26,48.0,52.6,109.5
11,2023-11-04,Away,Washington Capitals,1,2,L,,35,8,0,4,0,58,46,55.8,36,33,52.2,22,22,50.0,64.7,95.7
12,2023-11-06,Away,Florida Panthers,4,5,L,OT,23,4,1,2,0,55,90,37.9,31,60,34.1,23,24,48.9,28.4,104.7
13,2023-11-09,Home,Dallas Stars,2,5,L,,29,6,0,1,0,51,64,44.3,42,46,47.7,31,27,53.4,51.3,88.9
14,2023-11-11,Away,Detroit Red Wings,4,5,L,,22,6,0,3,0,53,44,54.6,32,32,50.0,16,27,37.2,63.6,102.2
15,2023-11-12,Away,New York Rangers,3,4,L,SO,28,10,0,1,0,50,72,41.0,37,52,41.6,19,42,31.1,45.9,102.0
16,2023-11-14,Home,Pittsburgh Penguins,3,5,L,,30,2,0,4,0,43,65,39.8,36,44,45.0,20,21,48.8,43.5,101.1
17,2023-11-16,Home,Arizona Coyotes,2,3,L,,41,4,0,3,0,79,49,61.7,53,37,58.9,27,20,57.4,69.4,98.8
18,2023-11-18,Away,Washington Capitals,3,4,L,,36,6,0,3,0,63,46,57.8,46,31,59.7,29,28,50.9,63.3,93.3
19,2023-11-19,Away,Philadelphia Flyers,2,5,L,,22,15,0,5,0,47,44,51.6,35,32,52.2,20,23,46.5,65.9,94.1
20,2023-11-22,Home,Chicago Blackhawks,7,3,W,,26,8,1,3,0,48,56,46.2,37,42,46.8,24,17,58.5,46.2,115.0
21,2023-11-24,Away,New Jersey Devils,2,1,W,,28,4,0,3,0,42,61,40.8,32,41,43.8,22,24,47.8,40.0,105.4
22,2023-11-26,Away,Carolina Hurricanes,2,3,L,,23,4,0,0,0,41,68,37.6,28,50,35.9,25,29,46.3,29.7,101.2
23,2023-11-27,Home,Boston Bruins,5,2,W,,40,4,1,5,0,52,59,46.8,38,50,43.2,19,25,43.2,45.2,106.4
24,2023-11-29,Home,Montreal Canadiens,2,4,L,,28,2,0,1,0,54,60,47.4,42,42,50.0,17,19,47.2,47.7,93.8
25,2023-12-01,Home,Ottawa Senators,4,2,W,,23,10,2,2,0,35,49,41.7,22,37,37.3,17,21,44.7,68.0,108.7
26,2023-12-03,Away,Boston Bruins,1,3,L,,25,12,0,4,0,47,46,50.5,33,29,53.2,17,16,51.5,45.1,99.5
27,2023-12-05,Home,Los Angeles Kings,3,4,L,OT,29,4,1,1,0,55,68,44.7,37,57,39.4,25,25,50.0,47.1,96.6
28,2023-12-07,Away,New York Islanders,3,7,L,,35,4,0,1,0,67,52,56.3,45,38,54.2,31,28,52.5,50.0,91.5
29,2023-12-08,Home,St. Louis Blues,5,2,W,,22,8,1,2,0,37,61,37.8,28,50,35.9,30,18,62.5,28.7,117.0
30,2023-12-10,Home,Florida Panthers,2,5,L,,19,39,0,2,0,43,56,43.4,28,38,42.4,22,19,53.7,64.0,94.4
31,2023-12-14,Away,Toronto Maple Leafs,6,5,W,OT,35,6,1,2,0,46,92,33.3,39,55,41.5,26,32,44.8,31.7,108.6
32,2023-12-16,Home,New Jersey Devils,3,6,L,,26,6,1,4,0,45,47,48.9,31,35,47.0,18,22,45.0,55.7,90.6
33,2023-12-19,Away,Buffalo Sabres,9,4,W,,34,6,1,2,0,51,49,51.0,39,38,50.6,20,31,39.2,45.2,111.5
34,2023-12-21,Home,Washington Capitals,2,3,L,OT,36,6,0,1,0,68,43,61.3,53,28,65.4,25,26,49.0,63.3,101.3
35,2023-12-23,Home,Toronto Maple Leafs,1,4,L,,28,8,0,4,0,47,43,52.2,30,32,48.4,18,24,42.9,38.9,96.1
36,2023-12-27,Away,New Jersey Devils,3,4,L,OT,29,6,0,3,0,51,61,45.5,31,40,43.7,26,23,53.1,35.1,100.5
37,2023-12-29,Home,Toronto Maple Leafs,6,5,W,OT,21,15,1,2,0,51,56,47.7,33,44,42.9,27,36,42.9,53.3,116.3
38,2023-12-30,Away,Buffalo Sabres,2,3,L,OT,20,2,0,1,0,33,77,30.0,26,56,31.7,21,30,41.2,24.5,103.2
39,2024-01-02,Home,Boston Bruins,1,4,L,,27,8,0,1,0,49,40,55.1,36,26,58.1,32,21,60.4,57.7,89.7
40,2024-01-04,Away,Philadelphia Flyers,3,2,W,SO,28,8,0,5,0,46,54,46.0,29,41,41.4,22,27,44.9,57.7,102.4
41,2024-01-06,Home,Minnesota Wild,3,4,L,OT,29,10,1,4,0,49,46,51.6,31,32,49.2,28,24,53.8,58.0,101.3
42,2024-01-09,Away,Winnipeg Jets,0,5,L,,29,8,0,3,0,54,51,51.4,35,32,52.2,20,23,46.5,56.9,78.9
43,2024-01-13,Home,Seattle Kraken,4,7,L,,34,9,1,3,0,63,40,61.2,41,34,54.7,26,27,49.1,68.6,89.0
44,2024-01-15,Home,Vancouver Canucks,4,3,W,SO,43,8,1,5,0,55,45,55.0,47,32,59.5,16,17,48.5,57.1,97.8
45,2024-01-19,Home,New Jersey Devils,1,4,L,,30,8,0,3,0,62,44,58.5,46,33,58.2,18,24,42.9,63.4,88.2
46,2024-01-23,Away,Edmonton Oilers,1,4,L,,27,6,0,4,0,46,40,53.5,34,28,54.8,14,24,36.8,51.6,89.3
47,2024-01-25,Away,Calgary Flames,5,2,W,,32,4,1,4,1,43,47,47.8,27,37,42.2,19,27,41.3,56.3,105.6
48,2024-01-27,Away,Vancouver Canucks,4,5,L,OT,29,8,1,3,1,40,52,43.5,26,40,39.4,12,29,29.3,31.5,102.8
49,2024-01-28,Away,Seattle Kraken,2,4,L,,32,6,0,2,0,54,51,51.4,42,33,56.0,23,30,43.4,59.7,98.0
50,2024-01-30,Away,St. Louis Blues,1,0,W,,22,11,0,2,0,49,47,51.0,33,32,50.8,21,20,51.2,50.0,105.0
51,2024-02-10,Home,Tampa Bay Lightning,2,4,L,,35,15,1,3,0,57,55,50.9,42,41,50.6,18,26,40.9,31.0,97.0
52,2024-02-13,Away,Ottawa Senators,3,6,L,,40,14,0,4,0,68,36,65.4,51,28,64.6,23,17,57.5,57.5,94.3
53,2024-02-17,Away,San Jose Sharks,4,3,W,,41,8,0,3,0,69,53,56.6,56,40,58.3,23,26,46.9,62.1,103.7
54,2024-02-20,Away,Los Angeles Kings,1,5,L,,33,4,0,3,0,48,50,49.0,32,42,43.2,21,27,43.8,67.7,94.8
55,2024-02-21,Away,Anaheim Ducks,7,4,W,,27,17,0,2,1,42,45,48.3,32,36,47.1,17,20,45.9,54.6,110.7
56,2024-02-23,Home,Buffalo Sabres,1,2,L,,26,10,1,3,0,44,49,47.3,32,40,44.4,15,23,39.5,54.5,93.3
57,2024-02-25,Home,New York Rangers,4,2,W,,41,9,1,3,0,66,69,48.9,53,47,53.0,27,31,46.6,47.5,101.7
58,2024-02-28,Away,New York Rangers,1,4,L,,31,11,0,2,0,65,59,52.4,40,40,50.0,24,25,49.0,51.4,92.6
59,2024-02-29,Home,Carolina Hurricanes,2,4,L,,22,4,1,2,0,43,67,39.1,31,45,40.8,21,30,41.2,42.3,92.4
60,2024-03-02,Away,Chicago Blackhawks,5,2,W,,31,6,0,2,0,56,46,54.9,37,33,52.9,20,19,51.3,46.1,111.2
61,2024-03-04,Home,Vegas Golden Knights,6,3,W,,33,2,0,2,0,50,64,43.9,35,50,41.2,26,32,44.8,50.0,114.3
62,2024-03-05,Away,Pittsburgh Penguins,3,5,L,,35,6,0,1,1,72,52,58.1,51,32,61.4,27,32,45.8,55.0,93.6
63,2024-03-07,Home,Edmonton Oilers,4,2,W,,34,13,0,1,0,60,48,55.6,43,38,53.1,22,26,45.8,59.4,108.4
64,2024-03-09,Home,Nashville Predators,1,2,L,,34,6,0,2,0,52,57,47.7,38,49,43.7,23,34,40.4,43.9,98.7
65,2024-03-12,Away,Montreal Canadiens,0,3,L,,41,8,0,4,0,75,40,65.2,45,34,57.0,21,15,58.3,67.5,90.5
66,2024-03-14,Home,Ottawa Senators,2,3,L,SO,37,6,1,3,0,67,63,51.5,46,42,52.3,28,16,63.6,50.2,96.7
67,2024-03-16,Home,San Jose Sharks,4,2,W,,20,6,0,1,0,43,61,41.3,27,44,38.0,27,25,51.9,43.2,116.5
68,2024-03-17,Home,Winnipeg Jets,1,6,L,,31,4,0,2,0,57,41,58.2,36,32,52.9,28,25,52.8,72.6,79.8
69,2024-03-19,Away,Detroit Red Wings,3,4,L,OT,35,16,1,2,0,57,41,58.2,43,26,62.3,19,26,42.2,53.9,90.5
70,2024-03-22,Away,Colorado Avalanche,1,6,L,,24,11,0,0,0,50,76,39.7,38,53,41.8,20,23,46.5,33.3,92.5
71,2024-03-23,Away,Vegas Golden Knights,2,4,L,,22,4,0,1,0,40,80,33.3,29,60,32.6,25,21,54.3,21.2,102.9
72,2024-03-26,Away,Arizona Coyotes,2,6,L,,27,19,2,4,0,40,62,39.2,29,48,37.7,27,16,62.8,40.0,89.3
73,2024-03-28,Away,Pittsburgh Penguins,2,3,L,,19,10,0,2,0,46,49,48.4,29,41,41.4,16,23,41.0,56.0,108.1
74,2024-03-30,Home,Pittsburgh Penguins,4,3,W,SO,37,4,0,4,1,65,53,55.1,43,39,52.4,24,26,48.0,55.6,95.6
75,2024-04-01,Home,Colorado Avalanche,4,1,W,,25,8,0,2,0,44,56,44.0,27,46,37.0,24,23,51.1,41.6,119.4
76,2024-04-04,Home,New York Islanders,2,4,L,,27,6,1,1,0,43,72,37.4,29,54,34.9,19,31,38.0,48.6,95.1
77,2024-04-06,Home,Philadelphia Flyers,6,2,W,,33,4,1,3,0,65,65,50.0,46,52,46.9,29,25,53.7,50.0,111.5
78,2024-04-07,Away,Carolina Hurricanes,0,3,L,,23,8,0,1,0,44,56,44.0,36,42,46.2,19,30,38.8,55.6,92.9
79,2024-04-09,Away,Tampa Bay Lightning,2,5,L,,32,4,1,2,0,59,50,54.1,42,37,53.2,24,31,43.6,48.6,89.7
80,2024-04-11,Away,Florida Panthers,0,4,L,,25,4,0,1,0,35,71,33.0,27,56,32.5,24,18,57.1,48.3,90.7
81,2024-04-13,Away,Nashville Predators,4,6,L,,37,11,0,1,0,65,52,55.6,46,48,48.9,34,32,51.5,48.6,98.9
82,2024-04-16,Home,Carolina Hurricanes,6,3,W,,25,10,0,2,0,38,47,44.7,27,39,40.9,20,18,52.6,42.9,120.2
1,2023-10-12,Home,St. Louis Blues,2,1,W,SO,34,6,0,4,0,62,41,60.2,46,28,62.2,25,23,52.1,65.0,98.6
2,2023-10-17,Away,Vegas Golden Knights,2,3,L,SO,26,18,0,2,0,53,45,54.1,34,33,50.7,32,29,52.5,51.9,100.7
3,2023-10-19,Away,Anaheim Ducks,3,2,W,,24,8,2,5,0,45,51,46.9,36,33,52.2,26,14,65.0,51.6,96.4
4,2023-10-21,Home,Philadelphia Flyers,5,4,W,OT,25,9,0,3,0,50,60,45.5,36,47,43.4,31,28,52.5,33.1,117.0
5,2023-10-24,Away,Pittsburgh Penguins,4,1,W,,34,8,0,2,0,55,58,48.7,43,42,50.6,25,22,53.2,52.8,110.3
6,2023-10-26,Home,Toronto Maple Leafs,1,4,L,,32,8,0,2,0,64,44,59.3,44,32,57.9,25,27,48.1,65.0,86.9
7,2023-10-30,Home,Columbus Blue Jackets,5,3,W,,33,6,0,3,0,59,53,52.7,44,37,54.3,27,22,55.1,40.2,107.2
8,2023-11-01,Away,Calgary Flames,4,3,W,,30,10,0,2,1,45,66,40.5,36,50,41.9,25,26,49.0,41.9,107.3
9,2023-11-02,Away,Edmonton Oilers,4,3,W,,27,8,1,2,0,38,77,33.0,26,55,32.1,26,37,41.3,47.7,104.8
10,2023-11-04,Away,Vancouver Canucks,0,2,L,,27,15,0,3,0,42,35,54.5,32,27,54.2,16,22,42.1,46.5,86.7
11,2023-11-06,Home,Boston Bruins,2,3,L,,37,8,0,3,0,64,38,62.7,48,24,66.7,27,26,50.9,67.4,95.7
12,2023-11-09,Away,Columbus Blue Jackets,5,2,W,,31,4,0,2,0,65,51,56.0,46,42,52.3,27,31,46.6,48.7,111.1
13,2023-11-11,Away,Winnipeg Jets,3,2,W,,29,6,1,4,1,38,50,43.2,26,35,42.6,33,19,63.5,23.7,98.3
14,2023-11-12,Away,Minnesota Wild,8,3,W,,37,15,5,8,2,36,29,55.4,25,21,54.3,28,11,71.8,40.3,89.2
15,2023-11-14,Home,Arizona Coyotes,4,3,W,OT,36,4,1,4,0,66,36,64.7,45,28,61.6,26,17,60.5,66.7,100.9
16,2023-11-18,Home,Colorado Avalanche,3,6,L,,28,8,1,4,0,44,57,43.6,33,45,42.3,24,17,58.5,42.3,94.4
17,2023-11-20,Home,New York Rangers,6,3,W,,36,8,1,3,2,63,46,57.8,43,39,52.4,21,22,48.8,50.0,103.4
18,2023-11-22,Home,Vegas Golden Knights,1,2,L,OT,32,8,0,3,0,58,30,65.9,41,24,63.1,27,20,57.4,58.0,98.0
19,2023-11-24,Home,Calgary Flames,4,7,L,,28,6,1,3,0,42,49,46.2,34,33,50.7,19,23,45.2,38.0,81.2
20,2023-11-28,Away,Winnipeg Jets,2,0,W,,21,8,0,2,0,45,43,51.1,30,31,49.2,18,18,50.0,37.0,111.1
21,2023-11-30,Away,Calgary Flames,3,4,L,OT,16,4,0,0,0,52,58,47.3,28,40,41.2,31,21,59.6,57.1,105.8
22,2023-12-02,Home,Tampa Bay Lightning,8,1,W,,34,12,2,2,0,43,40,51.8,37,35,51.4,21,25,45.7,37.9,122.2
23,2023-12-04,Away,Tampa Bay Lightning,0,4,L,,25,4,0,2,0,61,45,57.5,38,33,53.5,28,20,58.3,45.4,82.6
24,2023-12-06,Away,Florida Panthers,4,5,L,,33,4,2,4,0,50,53,48.5,40,40,50.0,29,22,56.9,33.3,92.0
25,2023-12-07,Away,Washington Capitals,5,4,W,SO,38,8,1,1,0,70,44,61.4,46,30,60.5,32,22,59.3,64.7,93.6
26,2023-12-09,Home,Vegas Golden Knights,1,6,L,,20,4,0,3,0,40,38,51.3,26,30,46.4,19,18,51.4,43.5,80.2
27,2023-12-11,Home,Detroit Red Wings,6,3,W,,35,8,2,4,0,63,37,63.0,41,28,59.4,27,21,56.3,65.0,105.6
28,2023-12-15,Home,Ottawa Senators,5,4,W,,24,6,1,3,1,43,51,45.7,31,39,44.3,31,23,57.4,48.1,101.0
29,2023-12-16,Away,St. Louis Blues,3,4,L,OT,23,2,0,3,0,50,55,47.6,35,43,44.9,33,24,57.9,45.9,104.9
30,2023-12-18,Home,Seattle Kraken,4,3,W,OT,28,8,0,4,0,37,57,39.4,29,45,39.2,23,15,60.5,45.8,106.6
31,2023-12-21,Home,Vancouver Canucks,4,3,W,OT,36,6,0,3,0,53,46,53.5,43,33,56.6,23,25,47.9,57.7,97.9
32,2023-12-23,Away,Nashville Predators,3,2,W,,34,4,0,2,0,69,37,65.1,42,25,62.7,30,22,57.7,50.0,103.8
33,2023-12-27,Away,St. Louis Blues,1,2,L,,40,8,0,2,0,73,34,68.2,54,25,68.4,24,29,45.3,64.9,92.1
34,2023-12-29,Home,Chicago Blackhawks,5,4,W,OT,35,6,1,3,0,69,48,59.0,47,35,57.3,33,19,63.5,49.5,98.3
35,2023-12-31,Home,Chicago Blackhawks,8,1,W,,41,6,1,3,0,54,48,52.9,41,33,55.4,24,22,52.2,39.4,119.4
36,2024-01-02,Home,Montreal Canadiens,3,4,L,,33,6,0,1,0,79,26,75.2,51,19,72.9,25,22,53.2,77.4,86.6
37,2024-01-04,Home,Colorado Avalanche,4,5,L,OT,32,6,1,3,0,64,52,55.2,42,38,52.5,25,26,49.0,49.1,95.1
38,2024-01-06,Home,Nashville Predators,3,4,L,,29,2,1,2,0,63,46,57.8,40,31,56.3,32,21,60.4,46.7,86.4
39,2024-01-08,Away,Minnesota Wild,4,0,W,,20,12,1,2,2,39,38,50.6,24,24,50.0,35,15,70.0,46.7,107.7
40,2024-01-10,Home,Minnesota Wild,7,2,W,,34,6,0,2,0,58,49,54.2,47,30,61.0,26,30,46.4,59.5,115.7
41,2024-01-12,Home,Nashville Predators,3,6,L,,22,10,1,3,0,50,52,49.0,33,42,44.0,33,20,62.3,32.5,94.4
42,2024-01-13,Away,Chicago Blackhawks,3,1,W,,30,9,1,3,0,55,59,48.2,37,47,44.0,39,16,70.9,43.2,104.8
43,2024-01-16,Home,Los Angeles Kings,5,1,W,,28,8,0,1,1,49,62,44.1,37,44,45.7,27,21,56.3,45.2,117.4
44,2024-01-18,Away,Philadelphia Flyers,1,5,L,,15,8,0,2,0,39,62,38.6,20,43,31.7,21,22,48.8,24.1,96.6
45,2024-01-20,Away,New Jersey Devils,6,2,W,,36,6,1,6,1,58,56,50.9,42,42,50.0,28,27,50.9,44.7,106.9
46,2024-01-21,Away,New York Islanders,2,3,L,OT,43,0,0,3,0,67,45,59.8,49,35,58.3,31,21,59.6,55.6,93.9
47,2024-01-23,Away,Detroit Red Wings,5,4,W,,38,8,1,2,0,60,60,50.0,42,36,53.8,29,20,59.2,50.0,107.8
48,2024-01-25,Home,Anaheim Ducks,4,3,W,OT,44,2,0,2,0,65,39,62.5,49,33,59.8,25,18,58.1,62.1,95.8
49,2024-01-27,Home,Washington Capitals,5,4,W,OT,35,4,1,2,0,63,47,57.3,44,37,54.3,34,20,63.0,69.9,98.2
50,2024-02-06,Away,Buffalo Sabres,2,1,W,,30,8,1,5,0,38,62,38.0,29,42,40.8,39,24,61.9,36.2,105.6
51,2024-02-07,Away,Toronto Maple Leafs,4,5,L,,31,6,1,4,0,66,44,60.0,44,34,56.4,30,25,54.5,57.6,103.7
52,2024-02-10,Away,Montreal Canadiens,3,2,W,,38,8,0,6,0,48,33,59.3,35,22,61.4,20,16,55.6,35.0,97.3
53,2024-02-13,Home,Carolina Hurricanes,4,2,W,,23,2,0,1,0,41,90,31.3,30,61,33.0,26,27,49.1,34.4,111.3
54,2024-02-15,Away,Nashville Predators,9,2,W,,41,4,2,3,0,57,52,52.3,47,37,56.0,23,32,41.8,40.6,111.2
55,2024-02-17,Home,Edmonton Oilers,3,4,L,OT,27,8,2,3,0,42,42,50.0,25,30,45.5,28,25,52.8,38.5,95.6
56,2024-02-19,Away,Boston Bruins,3,4,L,SO,46,9,0,2,0,79,49,61.7,60,39,60.6,31,29,51.7,71.6,95.3
57,2024-02-20,Away,New York Rangers,1,3,L,,42,8,1,4,0,57,37,60.6,38,28,57.6,22,23,48.9,65.4,83.3
58,2024-02-22,Away,Ottawa Senators,1,4,L,,15,10,0,1,0,49,46,51.6,25,40,38.5,17,27,38.6,53.1,94.6
59,2024-02-24,Away,Carolina Hurricanes,2,1,W,,16,4,0,4,0,31,60,34.1,19,38,33.3,25,17,59.5,27.6,108.7
60,2024-02-26,Home,New York Islanders,2,3,L,OT,32,6,1,1,0,64,53,54.7,39,37,51.3,27,24,52.9,50.0,92.2
61,2024-02-27,Away,Colorado Avalanche,1,5,L,,34,4,0,2,0,57,45,55.9,44,34,56.4,24,21,53.3,66.7,87.3
62,2024-02-29,Home,Winnipeg Jets,4,1,W,,36,2,0,2,0,64,45,58.7,47,36,56.6,36,22,62.1,42.9,114.3
63,2024-03-02,Home,San Jose Sharks,3,2,W,SO,38,6,1,4,0,64,51,55.7,44,37,54.3,33,18,64.7,48.6,94.6
64,2024-03-05,Away,San Jose Sharks,7,6,W,OT,40,8,2,3,0,73,36,67.0,55,24,69.6,33,33,50.0,68.7,88.5
65,2024-03-08,Away,Anaheim Ducks,6,2,W,,36,8,3,5,0,48,40,54.5,36,27,57.1,23,20,53.5,44.0,106.7
66,2024-03-09,Away,Los Angeles Kings,4,1,W,,35,10,1,5,0,50,43,53.8,37,37,50.0,21,25,45.7,42.1,106.1
67,2024-03-12,Home,Florida Panthers,3,4,L,,30,8,1,5,0,42,40,51.2,33,32,50.8,26,22,54.2,60.7,104.7
68,2024-03-14,Home,New Jersey Devils,2,6,L,,37,0,0,3,0,71,33,68.3,47,26,64.4,31,25,55.4,58.3,74.9
69,2024-03-16,Home,Los Angeles Kings,4,1,W,,29,2,1,2,0,47,54,46.5,34,37,47.9,30,30,50.0,39.5,107.1
70,2024-03-20,Home,Arizona Coyotes,5,2,W,,33,2,0,2,0,54,43,55.7,39,34,53.4,23,20,53.5,53.3,109.2
71,2024-03-22,Home,Pittsburgh Penguins,4,2,W,,23,4,1,2,0,48,47,50.5,34,32,51.5,20,34,37.0,41.2,104.1
72,2024-03-24,Away,Arizona Coyotes,4,2,W,,35,10,0,4,0,61,44,58.1,44,34,56.4,29,18,61.7,57.7,105.6
73,2024-03-26,Away,San Jose Sharks,6,3,W,,41,11,1,4,1,65,45,59.1,49,33,59.8,29,23,55.8,61.3,102.0
74,2024-03-28,Away,Vancouver Canucks,3,1,W,,34,8,2,5,0,58,51,53.2,42,36,53.8,14,20,41.2,49.7,99.8
75,2024-03-30,Away,Seattle Kraken,3,0,W,,30,4,1,2,0,57,41,58.2,38,25,60.3,30,18,62.5,56.8,109.1
76,2024-04-03,Home,Edmonton Oilers,5,0,W,,32,8,1,3,0,54,55,49.5,45,36,55.6,25,18,58.1,41.4,116.0
77,2024-04-06,Away,Chicago Blackhawks,2,3,L,,44,6,0,3,0,80,30,72.7,55,19,74.3,23,17,57.5,58.6,92.3
78,2024-04-07,Away,Colorado Avalanche,7,4,W,,37,4,3,3,0,62,72,46.3,47,45,51.1,30,20,60.0,30.3,103.4
79,2024-04-09,Home,Buffalo Sabres,3,2,W,,24,16,0,2,0,44,46,48.9,35,28,55.6,34,31,52.3,50.0,103.1
80,2024-04-11,Home,Winnipeg Jets,0,3,L,,24,4,0,2,0,56,41,57.7,39,35,52.7,26,17,60.5,50.0,87.0
81,2024-04-13,Home,Seattle Kraken,3,1,W,,30,6,1,3,0,48,45,51.6,35,34,50.7,18,16,52.9,37.5,103.6
82,2024-04-17,Home,St. Louis Blues,2,1,W,SO,37,2,0,3,0,66,42,61.1,49,32,60.5,22,18,55.0,61.6,98.9
1,2023-10-11,Away,Calgary Flames,3,5,L,,37,6,0,4,0,61,33,64.9,38,20,65.5,22,38,36.7,61.0,91.6
2,2023-10-14,Home,Florida Panthers,6,4,W,,35,21,2,6,1,44,35,55.7,36,27,57.1,29,21,58.0,57.0,94.9
3,2023-10-17,Home,Los Angeles Kings,1,5,L,,27,29,0,4,0,42,42,50.0,26,35,42.6,17,18,48.6,60.0,89.6
4,2023-10-19,Home,Vegas Golden Knights,3,5,L,,39,4,1,2,0,64,50,56.1,49,29,62.8,18,25,41.9,61.9,92.2
5,2023-10-21,Away,Edmonton Oilers,3,2,W,OT,27,15,1,5,1,36,54,40.0,25,46,35.2,25,25,50.0,41.3,102.8
6,2023-10-24,Home,St. Louis Blues,4,2,W,,30,8,0,3,0,52,31,62.7,35,23,60.3,16,29,35.6,61.8,108.4
7,2023-10-26,Away,Detroit Red Wings,4,1,W,,29,4,0,3,0,44,57,43.6,32,41,43.8,23,22,51.1,48.4,113.8
8,2023-10-28,Away,Montreal Canadiens,3,4,L,SO,45,9,0,4,0,68,43,61.3,54,33,62.1,29,17,63.0,59.5,99.1
9,2023-10-30,Home,New York Rangers,2,3,L,OT,29,6,0,3,0,57,37,60.6,37,27,57.8,21,24,46.7,59.2,98.0
10,2023-11-02,Away,Vegas Golden Knights,2,5,L,,31,10,1,5,0,55,33,62.5,38,27,58.5,16,23,41.0,44.0,89.4
11,2023-11-04,Away,Arizona Coyotes,5,3,W,,27,6,1,3,0,56,36,60.9,35,26,57.4,22,18,55.0,58.3,109.5
12,2023-11-07,Away,St. Louis Blues,5,2,W,,37,4,2,3,0,54,36,60.0,43,29,59.7,24,22,52.2,59.8,98.8
13,2023-11-09,Home,Nashville Predators,6,3,W,,37,20,1,4,0,41,36,53.2,29,27,51.8,18,25,41.9,62.1,101.6
14,2023-11-11,Home,Dallas Stars,2,3,L,,33,8,0,3,0,52,37,58.4,35,26,57.4,19,33,36.5,76.3,101.7
15,2023-11-14,Home,New Jersey Devils,6,3,W,,31,19,2,4,0,40,54,42.6,32,38,45.7,23,23,50.0,44.4,113.3
16,2023-11-17,Home,Buffalo Sabres,3,2,W,,18,4,0,4,0,34,55,38.2,24,39,38.1,20,18,52.6,32.0,115.1
17,2023-11-18,Home,Arizona Coyotes,5,2,W,,26,9,0,1,0,39,41,48.8,33,25,56.9,27,28,49.1,27.0,108.3
18,2023-11-22,Away,Tampa Bay Lightning,3,2,W,OT,32,2,1,2,0,47,67,41.2,36,46,43.9,18,20,47.4,37.1,103.8
19,2023-11-24,Away,Florida Panthers,3,0,W,,31,15,0,2,1,48,59,44.9,40,38,51.3,19,29,39.6,59.2,107.1
20,2023-11-26,Away,Nashville Predators,2,3,L,,34,4,1,2,0,53,45,54.1,39,35,52.7,33,31,51.6,55.8,95.1
21,2023-11-28,Home,Dallas Stars,0,2,L,,27,4,0,4,0,44,44,50.0,31,30,50.8,18,18,50.0,63.0,88.9
22,2023-11-30,Home,Edmonton Oilers,1,3,L,,26,4,1,3,0,33,71,31.7,26,54,32.5,13,41,24.1,47.4,94.1
23,2023-12-02,Home,Chicago Blackhawks,3,1,W,,28,4,1,4,0,56,41,57.7,40,29,58.0,23,19,54.8,55.9,101.5
24,2023-12-04,Home,Carolina Hurricanes,2,1,W,,22,6,0,1,0,42,74,36.2,31,59,34.4,22,23,48.9,23.5,106.7
25,2023-12-07,Away,Colorado Avalanche,4,2,W,,28,8,0,1,0,50,47,51.5,37,39,48.7,18,19,48.6,68.0,107.7
26,2023-12-10,Away,Anaheim Ducks,4,2,W,,31,9,0,5,0,44,41,51.8,33,30,52.4,22,19,53.7,60.0,114.4
27,2023-12-12,Away,San Jose Sharks,1,2,L,,37,6,0,5,0,56,45,55.4,42,38,52.5,23,21,52.3,57.4,99.7
